mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_time,end_time,start_s,end_s,makespan,sku_qty,picking_duration(s)
159,0,return,88,88,work station (Port 1),(3;0;3),1705365631,1705365741,2431,2541,2541.0,5,0.0
160,9,target,96,96,(1;5;1),work station (Port 2),1705365301,1705365426,2101,2226,2226.0,28,56.0
161,1,return,96,96,work station (Port 2),(3;0;4),1705365523,1705365771,2323,2571,2571.0,28,0.0
162,6,reshuffle,186,181,(2;8;7),(1;4;0),1705365486,1705365601,2286,2401,2401.0,11,0.0
163,7,reshuffle,185,181,(2;8;6),(1;4;1),1705365516,1705365631,2316,2431,2431.0,11,0.0
164,2,reshuffle,184,181,(2;8;5),(1;4;2),1705365546,1705365661,2346,2461,2461.0,11,0.0
165,4,reshuffle,183,181,(2;8;4),(1;4;3),1705365576,1705365691,2376,2491,2491.0,11,0.0
166,5,reshuffle,182,181,(2;8;3),(1;4;4),1705365606,1705365721,2406,2521,2521.0,11,0.0
167,6,target,181,181,(2;8;2),work station (Port 1),1705365601,1705365766,2401,2566,2566.0,11,22.0
168,0,return,181,181,work station (Port 1),(3;0;5),1705365773,1705365883,2573,2683,2683.0,11,0.0
169,7,reshuffle,375,43,(0;7;7),(1;4;5),1705365631,1705365751,2431,2551,2551.0,26,0.0
170,2,reshuffle,49,43,(0;7;6),(1;4;6),1705365661,1705365781,2461,2581,2581.0,26,0.0
171,3,reshuffle,47,43,(0;7;5),(1;4;7),1705365636,1705365811,2436,2611,2611.0,26,0.0
172,4,reshuffle,46,43,(0;7;4),(1;5;1),1705365691,1705365816,2491,2616,2616.0,26,0.0
173,5,reshuffle,45,43,(0;7;3),(1;5;2),1705365721,1705365846,2521,2646,2646.0,26,0.0
174,2,reshuffle,44,43,(0;7;2),(1;5;3),1705365781,1705365876,2581,2676,2676.0,26,0.0
175,1,target,43,43,(0;7;1),work station (Port 1),1705365771,1705365936,2571,2736,2736.0,26,52.0
176,0,return,43,43,work station (Port 1),(3;0;6),1705365973,1705366083,2773,2883,2883.0,26,0.0
